,birth,bet_eyes_rate,eye_width_rate,eye_height_rate,nose_width_rate,mouth_width_rate,lip_rate
0,19820715,0.247,0.156,0.073,0.554,0.312,0.140
1,19850121,0.241,0.159,0.064,0.412,0.295,0.155
2,19850818,0.273,0.150,0.056,0.566,0.382,0.128
3,19861029,0.257,0.143,0.043,0.592,0.363,0.134
4,19870713,0.300,0.172,0.065,0.543,0.345,0.183
5,19880408,0.280,0.151,0.056,0.575,0.376,0.146
6,19881109,0.265,0.157,0.065,0.592,0.339,0.166
7,19881121,0.286,0.153,0.065,0.479,0.310,0.112
8,19890511,0.264,0.174,0.055,0.627,0.478,0.195
9,19891008,0.269,0.162,0.051,0.610,0.406,0.223
10,19891022,0.263,0.150,0.043,0.632,0.317,0.144
11,19891121,0.279,0.172,0.056,0.716,0.535,0.251
12,19900724,0.252,0.155,0.060,0.438,0.340,0.137
13,19901104,0.277,0.152,0.063,0.479,0.340,0.137
14,19910302,0.284,0.161,0.051,0.493,0.344,0.146
15,19910912,0.266,0.163,0.071,0.521,0.389,0.179
16,19911120,0.246,0.150,0.063,0.514,0.283,0.143
17,19920302,0.250,0.158,0.052,0.523,0.368,0.192
18,19930212,0.276,0.167,0.066,0.507,0.320,0.144
19,19930803,0.273,0.156,0.057,0.494,0.371,0.159
20,19930814,0.264,0.156,0.060,0.480,0.354,0.137
21,19940113,0.267,0.173,0.076,0.470,0.379,0.131
22,19940318,0.289,0.171,0.052,0.542,0.318,0.133
23,19940504,0.263,0.158,0.060,0.544,0.355,0.137
24,19941024,0.252,0.161,0.053,0.515,0.464,0.169
25,19950122,0.248,0.160,0.068,0.440,0.294,0.147
26,19950204,0.243,0.142,0.059,0.442,0.301,0.162
27,19950403,0.272,0.147,0.056,0.500,0.318,0.162
28,19950531,0.265,0.155,0.056,0.571,0.310,0.111
29,19960316,0.279,0.160,0.059,0.500,0.324,0.155
30,19960331,0.286,0.164,0.067,0.507,0.333,0.164
31,19960510,0.260,0.160,0.075,0.565,0.346,0.161
32,19961030,0.258,0.153,0.064,0.486,0.323,0.145
33,19961218,0.283,0.157,0.069,0.514,0.336,0.121
34,19970305,0.279,0.154,0.057,0.527,0.375,0.182
35,19970925,0.257,0.154,0.054,0.521,0.322,0.163
36,19980313,0.280,0.155,0.049,0.603,0.297,0.128
37,19980926,0.263,0.152,0.063,0.462,0.309,0.172
38,19990131,0.257,0.157,0.056,0.569,0.335,0.135
39,19990202,0.280,0.152,0.063,0.514,0.332,0.166
40,19990320,0.286,0.163,0.065,0.466,0.335,0.172
41,19990326,0.267,0.149,0.050,0.474,0.299,0.138
42,19990531,0.284,0.144,0.057,0.532,0.304,0.175
43,19990624,0.292,0.157,0.064,0.554,0.343,0.111
44,19990727,0.284,0.153,0.069,0.480,0.288,0.194
45,19990907,0.284,0.144,0.057,0.493,0.330,0.161
46,19990915,0.256,0.147,0.056,0.500,0.365,0.172
47,19990922,0.274,0.151,0.056,0.487,0.311,0.162
48,19990927,0.251,0.159,0.064,0.479,0.348,0.164
49,19991026,0.289,0.152,0.065,0.522,0.327,0.178
50,20000406,0.287,0.177,0.075,0.487,0.378,0.129
51,20000413,0.262,0.162,0.069,0.545,0.329,0.132
52,20000414,0.260,0.166,0.064,0.514,0.306,0.144
53,20000801,0.278,0.153,0.039,0.553,0.343,0.173
54,20001013,0.292,0.167,0.052,0.507,0.349,0.156
55,20010211,0.263,0.161,0.059,0.518,0.357,0.153
56,20010305,0.271,0.158,0.074,0.550,0.355,0.128
57,20010308,0.291,0.165,0.061,0.592,0.393,0.129
58,20010327,0.291,0.165,0.061,0.592,0.393,0.129
59,20010518,0.283,0.164,0.058,0.500,0.342,0.145
60,20010619,0.275,0.166,0.061,0.447,0.332,0.128
61,20011011,0.283,0.170,0.069,0.573,0.327,0.132
62,20011103,0.268,0.151,0.047,0.565,0.327,0.176
63,20011206,0.297,0.160,0.063,0.486,0.283,0.189
64,20020111,0.267,0.162,0.052,0.575,0.362,0.144
65,20020519,0.248,0.178,0.091,0.415,0.306,0.128
66,20020816,0.266,0.156,0.065,0.565,0.344,0.130
67,20021011,0.292,0.162,0.077,0.536,0.319,0.166
68,20030204,0.274,0.165,0.059,0.514,0.354,0.159
69,20030428,0.284,0.165,0.051,0.562,0.362,0.165
70,20030706,0.284,0.142,0.055,0.588,0.289,0.171
71,20030824,0.290,0.181,0.069,0.506,0.321,0.222
72,20030901,0.282,0.160,0.053,0.468,0.329,0.129
73,20030902,0.255,0.168,0.065,0.552,0.332,0.182
74,20031014,0.267,0.162,0.066,0.561,0.338,0.162
75,20031022,0.258,0.155,0.059,0.507,0.315,0.129
76,20031030,0.274,0.163,0.076,0.500,0.337,0.157
77,20031206,0.285,0.156,0.056,0.486,0.323,0.156
78,20031228,0.258,0.155,0.067,0.537,0.333,0.190
79,20040228,0.261,0.153,0.055,0.521,0.335,0.182
80,20040316,0.257,0.174,0.085,0.513,0.321,0.176
81,20040528,0.273,0.153,0.060,0.500,0.368,0.187
82,20040726,0.268,0.150,0.065,0.522,0.300,0.155
83,20040814,0.268,0.160,0.050,0.545,0.304,0.138
84,20040908,0.243,0.163,0.056,0.530,0.342,0.149
85,20041011,0.282,0.148,0.063,0.543,0.356,0.151
